ASV,01A-CR,01B-CR,01C-CR,02A-CR,02B-CR,02C-CR,03A,03B,03C,04A,04B,04C,05A,05B,05C,06A,06B,06C,07A,07B,07C,08A,08B,08C,09A,09B,09C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C
e4c9db6461debda6fa2519aadbb4304a,0,0,0,0,0,0,0,117,37,0,26,0,38,165,1460,0,29,137,0,93,435,0,238,24,0,40,17,0,0,0,0,62,2,0,285,0,0,143,0,0,0,0
575c0a71154081b34dafac3cf5b9eee3,0,47,0,31,33,0,328,76,24,0,20,0,649,133,497,41,0,45,173,82,106,0,50,0,111,23,0,38,0,0,0,0,0,103,102,0,0,0,0,460,43,0
796b95903aa731687efee23df6c4c6cd,0,0,0,0,0,0,0,696,70,0,16,0,0,136,650,0,0,36,0,95,92,0,115,0,0,29,9,0,0,0,0,0,7,0,630,228,0,31,374,0,0,0
a659aa271e283590741baade2cde0f51,0,0,0,0,0,0,0,0,0,0,13,0,0,77,450,0,12,493,0,151,276,0,626,159,0,144,62,0,0,56,0,358,19,0,150,44,0,24,0,0,0,0
2f749dafce7243b57758ee8e97de5085,0,0,0,0,0,0,0,0,0,618,52,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,602,140,285,181,32,544,78,0,0,0,0,0,0,0
0a61d330682b1dabaed6a3250684ce65,28,0,51,16,56,0,77,123,16,69,28,0,656,99,285,0,0,0,281,80,53,190,225,0,53,31,24,30,18,0,20,92,0,0,57,16,45,69,15,182,36,51
f6ca1c39045c6322562c52f05a9326a2,0,341,0,0,574,0,0,0,0,0,38,0,0,0,1160,0,0,0,0,33,649,0,0,0,0,129,0,0,72,0,0,61,0,0,0,0,0,0,0,0,0,0
087bcf7dc81de6c7c0a18890e0a8b206,0,0,0,0,0,0,346,289,0,0,14,0,537,59,604,191,19,0,17,6,131,0,0,0,58,16,0,46,22,0,0,0,0,105,359,0,0,0,60,134,13,0
18b0670695a21c28ad1f6a37426f7d7a,0,45,0,0,26,0,194,89,86,45,0,0,543,99,501,63,13,67,234,60,110,187,123,29,102,21,15,55,0,18,10,18,0,36,58,23,28,25,0,64,29,7
128d5aeecbea329846ada6e89d3588e5,0,0,0,0,0,0,0,0,0,74,37,0,0,0,838,249,35,0,543,137,12,0,218,15,0,0,0,34,19,0,34,62,0,0,0,0,36,189,0,434,22,0
f760f0a6965f5b13ec1980ad96d74adf,0,0,0,0,0,0,0,31,0,0,11,4,0,87,256,0,0,35,0,86,142,0,143,0,0,103,24,0,0,65,0,56,0,0,86,1646,0,110,97,0,0,0
cc8df828edd401d87fdeb7634f867c04,0,37,0,26,0,0,443,56,10,37,0,0,709,24,615,77,17,0,138,6,84,104,111,0,115,20,0,0,0,0,0,0,0,98,145,0,0,53,0,0,0,54
d5154db6fcd623d2c91f96a696ff3a83,0,22,0,65,44,0,141,40,0,24,39,0,240,61,123,242,30,0,535,7,162,0,35,0,41,4,0,17,18,8,33,51,0,0,43,108,333,195,147,73,21,44
ee5d0053e1250e82b8bd2f80708d5af3,0,0,0,0,28,0,287,96,0,71,19,0,800,52,218,46,17,0,478,37,79,78,21,0,62,59,0,57,18,0,14,46,0,0,57,0,115,0,18,126,21,0
0fb962ad7c595c50ff964a7190dac5e2,0,0,0,0,0,0,101,112,0,34,20,0,552,72,402,98,0,0,350,62,55,113,108,11,83,43,0,0,26,27,6,87,0,0,59,135,64,122,0,36,5,83
e6eed1f65efebfca8c44bbdbb8b731ff,0,0,0,0,0,0,0,724,0,0,0,0,0,0,1705,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75c54214a8e32a6c409cb8817fffc0a2,2033,0,0,399,10,0,42,0,0,0,0,0,0,27,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,38,0,0,204,0,0,0,0,0,0,0,0
